Tue Jun 20 13:19:33 2023    output.prof

         5276138 function calls (5274851 primitive calls) in 16.856 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.id}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:175(_path_isabs)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/multiprocessing/synchronize.py:90(_make_methods)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/multiprocessing/util.py:385(ForkAwareLocal)
        3    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/multiprocessing/synchronize.py:210(Condition)
        2    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/scoords/attitude.py:166(<listcomp>)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/weakref.py:353(__init__)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/threading.py:757(_newname)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        2    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/_collections_abc.py:409(__subclasshook__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(has_location)
        2    0.000    0.000    0.000    0.000 {built-in method _weakref.proxy}
        1    0.000    0.000    0.000    0.000 {built-in method _locale.nl_langinfo}
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/attributes.py:54(__init__)
        2    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:841(create_module)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/subprocess.py:250(_cleanup)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/tqdm/utils.py:231(_screen_shape_wrapper)
        2    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/representation.py:1358(from_cartesian)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/h5py/_hl/files.py:177(make_fcpl)
        1    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
        2    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/threading.py:536(is_set)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1031(get_filename)
        1    0.000    0.000    0.000    0.000 {built-in method numpy.promote_types}
        1    0.000    0.000    0.000    0.000 {built-in method sys.exc_info}
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/multiprocessing/synchronize.py:321(Event)
        1    0.000    0.000    0.000    0.000 {built-in method sys.audit}
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/multiprocessing/util.py:368(ForkAwareThreadLock)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/subprocess.py:1837(_internal_poll)
        1    0.000    0.000    0.000    0.000 {function DecompressReader.close at 0x7f19682c5280}
        1    0.000    0.000    0.000    0.000 {method 'difference' of 'set' objects}
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/multiprocessing/context.py:197(get_start_method)
        1    0.000    0.000    0.000    0.000 {method 'rfind' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/tqdm/std.py:100(<listcomp>)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/multiprocessing/synchronize.py:142(BoundedSemaphore)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/_compression.py:150(tell)
        1    0.000    0.000    0.000    0.000 {method 'rstrip' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/multiprocessing/util.py:108(_platform_supports_abstract_sockets)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/multiprocessing/util.py:48(debug)
        1    0.000    0.000    0.000    0.000 {method 'count' of 'list' objects}
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/multiprocessing/process.py:37(current_process)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/numpy/core/numeric.py:1481(_cross_dispatcher)
        1    0.000    0.000    0.000    0.000 {method 'fileno' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 {built-in method posix.WIFSTOPPED}
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/h5py/_hl/files.py:563(__enter__)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/multiprocessing/synchronize.py:159(Lock)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/contextlib.py:486(__enter__)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/gzip.py:367(readable)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/codecs.py:260(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method posix.waitstatus_to_exitcode}
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/_distutils_hack/__init__.py:96(<lambda>)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/multiprocessing/synchronize.py:184(RLock)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/gzip.py:370(writable)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/_compression.py:36(readable)
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/tqdm/std.py:1315(<lambda>)
        1    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/gzip.py:373(seekable)
        1    0.000    0.000    0.000    0.000 {method 'pop' of 'collections.deque' objects}
        1    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}


