Tue Jun 20 13:19:33 2023    output.prof

         5276138 function calls (5274851 primitive calls) in 16.856 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1021    0.003    0.000    0.004    0.000 {method 'format' of 'str' objects}
  777/762    0.001    0.000    0.004    0.000 {built-in method builtins.hasattr}
      285    0.001    0.000    0.004    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/quantity.py:533(__array_finalize__)
      115    0.001    0.000    0.004    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/tqdm/std.py:342(fp_write)
       16    0.000    0.000    0.004    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/earth_orientation.py:152(_precess_from_J2000_Capitaine)
      156    0.000    0.000    0.004    0.000 <__array_function__ internals>:177(product)
       72    0.000    0.000    0.004    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/core.py:1101(to)
      232    0.001    0.000    0.004    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/tqdm/utils.py:143(inner)
        3    0.000    0.000    0.003    0.001 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/builtin_frames/galactic_transforms.py:29(_gal_to_fk5)
       53    0.000    0.000    0.003    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/core.py:921(is_equivalent)
      156    0.000    0.000    0.003    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/numpy/core/fromnumeric.py:3734(product)
        3    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap>:901(_find_spec)
      454    0.001    0.000    0.003    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/utils/decorators.py:768(__get__)
      117    0.003    0.000    0.003    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        3    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap_external>:1415(find_spec)
        3    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap_external>:1383(_get_spec)
       36    0.000    0.000    0.003    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/numpy/lib/ufunclike.py:48(func)
       85    0.001    0.000    0.003    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/quantity.py:683(_new_view)
      156    0.000    0.000    0.003    0.000 <__array_function__ internals>:177(prod)
       36    0.000    0.000    0.003    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/angles.py:159(_set_unit)
      221    0.001    0.000    0.003    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/numpy/core/fromnumeric.py:69(_wrapreduction)
       99    0.001    0.000    0.003    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/core.py:1068(_to)
       17    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1514(find_spec)
      185    0.000    0.000    0.003    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/abc.py:117(__instancecheck__)
       48    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(polyval)
      285    0.001    0.000    0.002    0.000 {method 'view' of 'numpy.ndarray' objects}
       36    0.000    0.000    0.002    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/quantity.py:1929(_set_unit)
        1    0.000    0.000    0.002    0.002 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/h5py/_hl/files.py:363(__init__)
        1    0.000    0.000    0.002    0.002 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/representation.py:1494(cross)
       82    0.000    0.000    0.002    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/core.py:1030(_get_converter)
       11    0.002    0.000    0.002    0.000 {built-in method builtins.__build_class__}
      185    0.000    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
      229    0.001    0.000    0.002    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/tqdm/std.py:288(format_interval)
        7    0.000    0.000    0.002    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/core.py:836(__rmul__)
       48    0.001    0.000    0.002    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/numpy/lib/polynomial.py:704(polyval)
        1    0.000    0.000    0.002    0.002 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/tqdm/std.py:846(__init__)
        1    0.002    0.002    0.002    0.002 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/h5py/_hl/files.py:206(make_fid)
     2415    0.002    0.000    0.002    0.000 {built-in method builtins.ord}
        1    0.002    0.002    0.002    0.002 /zfs/astrohe/ckarwin/COSI/COSIpy_Development/cosipy/cosipy/data_io/UnBinnedData.py:328(cart2polar)
   301/74    0.001    0.000    0.002    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/abc.py:121(__subclasscheck__)
        5    0.000    0.000    0.002    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/utils/shapes.py:44(copy)
      221    0.000    0.000    0.002    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/baseframe.py:695(get_frame_attr_names)
        5    0.000    0.000    0.002    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/baseframe.py:1463(_apply)
       53    0.000    0.000    0.002    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/core.py:952(_is_equivalent)
  107/106    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:1033(_handle_fromlist)
        6    0.000    0.000    0.002    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/coordinates/transformations.py:382(get_transform)
      126    0.001    0.000    0.002    0.000 /zfs/astrohe/Software/COSIMain_u2/lib/python3.9/site-packages/astropy/units/core.py:666(_get_physical_type_id)
   301/74    0.001    0.000    0.002    0.000 {built-in method _abc._abc_subclasscheck}
